name,phonenumber
user_1,5004561234
user_2,5014561234
user_3,5034561234
user_4,5044561234
user_5,5054561234
user_6,5064561234
user_7,5074561234
user_8,5084561234
user_9,5094561234
user_10,5104561234
user_11,5114561234
user_12,5124561234
user_13,5124561234
user_14,5144561234
user_15,5154561234
user_16,5164561234
user_17,5174561234
user_18,5184561234
user_19,5194561234
user_20,5204561234
user_21,5214561234
user_22,5224561234
user_23,5234561234
user_24,5244561234
user_25,5254561234
user_26,5264561234
user_27,5274561234
user_28,5284561234
user_29,5294561234
user_30,5304561234
